FishID,Weight,Length,Width,Height,Area,Perimeter
fish01,,124.43592865927802,69.91001312782599,52.85866666666665,4156.94425483504,813.9876807841341
fish10,,69.91001312782599,53.16276764316572,52.799999999999976,2497.9673871824043,337.8795913356889
fish11,,106.98763473835686,65.36878283027823,52.66666666666667,4517.533560864618,588.1290204358842
fish12,,81.76550504766456,55.078964103271055,52.799999999999976,2812.0743268866127,445.66664676494105
fish13,,69.91001312782599,53.16276764316572,55.62133333333333,2511.563898369359,314.5074410903184
fish14,,69.9100069472587,51.05961948181353,52.799999999999976,2473.7466818354183,300.1531841092994
fish15,,69.9100078981152,51.51140730307303,52.66666666666667,2464.5900644671965,308.3568317600996
fish2,,124.43592865927802,69.91001312782599,52.93333333333332,8674.772089495636,399.2249072983383
fish3,,124.43592865927802,69.91001312782599,53.72799999999998,8671.072430792563,394.4320837806348
fish4,,96.08245258292295,62.29196378643169,53.09333333333331,3291.3576033371246,665.8589344878859
fish5,,69.91001312782599,55.499592594513636,52.66666666666667,2627.3204398938187,380.6009901064945
fish6,,69.91001075068473,47.41417707427916,52.799999999999976,2468.7447857413727,296.0136200448911
fish7,,69.91001312782599,56.66800507018766,52.95999999999997,2626.3951459992422,365.8768247911668
fish8,,76.8270149838159,57.462525553645946,52.799999999999976,2716.8517254455815,420.6194503067481
fish9,,69.91001312782599,50.49878719862907,52.799999999999976,2507.741372772089,327.72435089860033
