FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,_Truth_Length (cm),Width_truth (cm),Area_truth (cm²),Perimeter_truth (cm),_AbsError_Length (cm),_PerFishScale,_PerFishScale_Width,_PerFishScale_Perimeter,_PerFishScale_Area,_CompositeRelError,_SelectionMode
fish01,67.49,349,17.45,20.0,20.0,20.6712125214107,3.6767558674873024,40.05607633459684,47.19280260511842,45.15627221485379,4625,17305,458.2487845105585,264.12846679508414,814.8772513056426,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.13714239536919237,0.9914870379850703,0.29313476243064474,0.7767257954665941,0.22481552035599275,0.008364276402162607,within
fish10,17.7,8506,425.3,20.0,20.0,20.44814786044034,4.850535999644887,0.5333575788127548,63.7290805785124,46.71036856631799,1351,85,424.28174327226816,246.21570948787272,697.5174527601408,20.44814786044034,4.850535999644887,63.7290805785124,46.71214876391671,0.0,1.0000454602739153,0.5534935197921154,0.9249995515852449,0.45458760179449176,9.527487205292385e-06,within
fish11,13.0,6104,305.2,20.0,20.0,26.331221080961683,2.104750609979397,1.3064287061945594,37.73520577950536,55.16555653479237,6677,129,429.8706926106771,252.05067368307112,815.4613662937481,26.712832980685764,2.130735185411241,38.62075617283951,55.5714596774843,0.3816118997240814,0.9798215296459196,0.13618325555692623,0.7547075664571832,0.11366210131580295,0.014178598036659914,within
fish12,15.28,3790,189.5,20.0,20.0,18.77968457779337,1.4920490710698964,32.07148021896006,19.470415224913495,39.16949076362063,591,1579,433.8789225971741,260.5069042372704,706.2058268344445,18.82326492608762,1.4930370555204504,19.4838523644752,39.24059057235718,0.0435803482942525,0.9583111619211174,0.46634317247393636,0.9495340543808523,0.38583699314668685,0.0013696290464136807,within
fish13,13.88,504,25.2,20.0,20.0,31.727272727272727,6.045454545454546,15.990789873294563,116.47051650163216,70.1937608857799,1864,1106,426.2064310377333,251.41695301475528,714.9033840524885,31.727272727272727,6.045454545454546,116.39876033057853,70.25047743320465,0.0,2.2628476235794195,0.31179994790309984,0.7871429312949807,0.21116440695320896,0.0003559540043570229,within
fish14,12.32,3163,158.15,20.0,20.0,19.24964026014924,1.522424511677329,68.32805348600469,20.42878752266957,39.77194176048054,1833,275,424.9640711081423,251.1621809758504,712.7862520839926,19.23723999023437,1.509253692626953,20.4362,39.91864342451096,0.012400269914866868,1.3006609166117644,0.1821431329149326,0.836008531162469,0.15405793200182483,0.0033522590862339265,within
fish15,9.61,3874,193.7,20.0,20.0,20.037606225963916,1.5399339883065164,1.9852675646506492,23.80595858134921,41.40093262990316,1137,264,441.89595050272993,262.4779720034176,727.1139225061474,20.03411102294922,1.539608319600423,24.11176215277778,41.40093262990316,0.0034952030146975233,0.9305941709299919,0.31359452729684484,0.8886264027994805,0.2586601508122255,0.0032671861392956857,within
fish2,16.0,4954,247.7,20.0,20.0,26.476251185809115,3.2236019107910012,32.23209273288463,56.95595003287311,51.88848217628439,1996,238,468.5391319079741,260.99811502964224,769.4572469376163,24.59605212089343,3.237973922338241,56.95595003287311,52.13504557120494,1.8801990649156863,0.986696716312795,0.32651912012710094,0.8372911875435075,0.29129557534301814,0.02140275682283207,within
fish3,81.9,6139,306.95,20.0,20.0,20.14868532890475,9.367008486451317,3.1981497225263866,128.9371072205069,48.38776603692343,5227,834,450.27177944147553,266.6874576194657,821.4992370609411,19.76003232209579,9.436867755392324,126.31828922495274,47.81281936686972,0.388653006808962,0.8883749229239962,0.7840386915784875,0.8870512545653065,0.6629013960329246,0.014957072940886239,within
fish4,61.25,1106,55.3,20.0,20.0,25.317551570892327,3.0352102831790733,22.49760341908041,43.8289038882216,50.648336354968365,3762,22620,448.3987586805556,261.6588834007157,785.2976420812713,25.082699245876736,3.033448113335504,44.30787037037037,51.34523236751557,0.2348523250155914,1.0043572954946611,0.36566991307446467,0.840706296613563,0.2419515570423535,0.008581686843450153,within
fish5,27.36,3805,190.25,20.0,20.0,23.462889696509137,2.207625328727306,3.7178704156546076,44.56986853155032,48.45012438214355,2868,216,429.6471829018488,254.2434179253472,741.250600827196,23.4393935785061,2.240617705554497,44.720999405116,48.40197866718943,0.02349611800303819,1.1153611246963824,0.2885128922159749,0.8889331935663408,0.29123236075269404,0.005025305249400082,within
fish6,13.78,8327,416.35,20.0,20.0,23.45227699737756,1.6530245517162567,42.820087343052876,24.32200807586646,47.91236155707363,7657,66212,428.2035068853684,263.20981110428704,844.5533179896555,23.16274050448803,1.6530245517162567,24.231326392032592,47.63758840205821,0.2895364928895283,0.7434042941502236,0.12687229446513773,0.7981564276386324,0.10241247491583856,0.005502604914370298,within
fish7,18.32,6947,347.35,20.0,20.0,27.168886630108414,6.927615462894418,7.08430384303403,192.94818036712263,65.1697688732905,4479,1149,447.7760152557752,262.2825064771865,799.6385217329617,26.63888888888889,6.888888888888889,173.51967592592592,64.87754009498491,0.5299977412195247,1.2650542576846484,0.4352157018917075,0.8993930610830906,0.5796895493070424,0.035497176950297596,within
fish8,12.7,6036,301.8,20.0,20.0,27.201735717402922,2.0763558928604358,2.0206980141948336,43.800863552421724,55.55104128610194,714,266,448.9939180650311,264.64124992874986,727.9151679937809,26.682296752929688,2.1263525221082897,43.020833333333336,55.36007635792097,0.5194389644732347,1.0825167933186608,0.5314467474004103,0.9502599687973848,0.4875843664250133,0.01614034249726825,within
fish9,14.0,3048,152.4,20.0,20.0,27.805900974148607,1.5344785986016753,5.261423960866498,22.850691849968335,53.54695892054634,329,557,456.6229244519648,256.2147297879431,719.4176542399078,25.881115383572048,1.950888951619466,39.18441358024691,53.402549650934006,1.9247855905765583,1.1274479916142495,0.5075646694255317,0.9226224846455153,0.32636254252455127,0.1768408048167579,within
